------------------------
15/9/2020 0:29:56 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1803182973, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=230, tx_frequency=868000000)
15/9/2020 0:29:59 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1805858945, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=231, tx_frequency=868000000)
15/9/2020 0:30:1 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1808562932, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=232, tx_frequency=868000000)
15/9/2020 0:30:5 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1811237915, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=233, tx_frequency=868000000)
15/9/2020 0:30:10 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1816595971, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=234, tx_frequency=868000000)
15/9/2020 0:30:13 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1819271953, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=235, tx_frequency=868000000)
15/9/2020 0:30:16 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1821948933, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=236, tx_frequency=868000000)
15/9/2020 0:30:18 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1824630923, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=237, tx_frequency=868000000)
15/9/2020 0:30:21 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1827305908, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=238, tx_frequency=868000000)
15/9/2020 0:30:24 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1829982893, rssi=-109, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=239, tx_frequency=868000000)
15/9/2020 0:30:25 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1832658875, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=240, tx_frequency=868000000)
15/9/2020 0:30:29 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1835340859, rssi=-108, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=241, tx_frequency=868000000)
15/9/2020 0:30:31 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1838016850, rssi=-108, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=242, tx_frequency=868000000)
15/9/2020 0:30:34 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1840693827, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=243, tx_frequency=868000000)
15/9/2020 0:30:36 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1843369810, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=244, tx_frequency=868000000)
15/9/2020 0:30:39 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1846053807, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=245, tx_frequency=868000000)
15/9/2020 0:30:41 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1847274617, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=246, tx_frequency=868000000)
15/9/2020 0:30:44 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1851436770, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:30:47 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1854113756, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:30:50 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1856760184, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=249, tx_frequency=868000000)
15/9/2020 0:30:52 msg Discover end 2 2 stats (rx_timestamp=1858883170, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=250, tx_frequency=868000000)
15/9/2020 0:30:53 msg Discover end 2 2 stats (rx_timestamp=1859316480, rssi=-88, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=78, tx_counter=251, tx_frequency=868000000)
15/9/2020 0:30:57 msg Discover end 2 2 stats (rx_timestamp=1859316480, rssi=-88, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=78, tx_counter=252, tx_frequency=868000000)
15/9/2020 0:32:0 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=1927341830, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=78, tx_counter=253, tx_frequency=868000000)
15/9/2020 0:32:1 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=1928014773, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=254, tx_frequency=868000000)
15/9/2020 0:32:31 msg Info 30aea458f354 3c71bf877510 150 48 51 30 52 0 1 stats (rx_timestamp=1958237822, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=255, tx_frequency=868000000)
15/9/2020 0:35:32 msg Info 3c71bf875fa8 3c71bf877510 150 52 52 30 51 0 1 stats (rx_timestamp=2139596200, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=256, tx_frequency=868000000)
15/9/2020 0:35:48 msg Info 3c71bf875fa8 3c71bf877510 150 52 52 30 51 0 1 stats (rx_timestamp=2140143932, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=257, tx_frequency=868000000)
15/9/2020 0:42:5 msg Info 3c71bf875fa8 3c71bf877510 150 48 47 30 50 0 1 stats (rx_timestamp=2532556155, rssi=-88, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=258, tx_frequency=868000000)
15/9/2020 0:42:21 msg Info 3c71bf875fa8 3c71bf877510 150 48 47 30 50 0 1 stats (rx_timestamp=2533109459, rssi=-111, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=259, tx_frequency=868000000)
15/9/2020 0:42:57 msg Alarm 3c71bf875fa8 3c71bf875fa8 150 48 50 30 50 0 1 stats (rx_timestamp=2562784232, rssi=-88, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=260, tx_frequency=868000000)
