stats (rx_timestamp=2709322498, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6210, tx_frequency=868000000)
17/7/2020 4:27:14 msg Hay buena cobertura con mateu orfila 4098 stats (rx_timestamp=3156271986, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6387, tx_frequency=868000000)
17/7/2020 4:27:27 msg Hay buena cobertura con mateu orfila 4100 stats (rx_timestamp=3168802913, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6392, tx_frequency=868000000)
17/7/2020 4:27:31 msg Hay buena cobertura con mateu orfila 4101 stats (rx_timestamp=3172979903, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6394, tx_frequency=868000000)
17/7/2020 4:27:35 msg Hay buena cobertura con mateu orfila 4104 stats (rx_timestamp=3177156940, rssi=-109, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6395, tx_frequency=868000000)
17/7/2020 4:27:39 msg Hay buena cobertura con mateu orfila 4105 stats (rx_timestamp=3181334929, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6397, tx_frequency=868000000)
17/7/2020 4:27:43 msg Hay buena cobertura con mateu orfila 4106 stats (rx_timestamp=3185511919, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6399, tx_frequency=868000000)
17/7/2020 4:27:48 msg Hay buena cobertura con mateu orfila 4107 stats (rx_timestamp=3189688867, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6400, tx_frequency=868000000)
17/7/2020 4:27:52 msg Hay buena cobertura con mateu orfila 4108 stats (rx_timestamp=3193865850, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6402, tx_frequency=868000000)
17/7/2020 4:28:0 msg Hay buena cobertura con mateu orfila 4109 stats (rx_timestamp=3202219876, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6405, tx_frequency=868000000)
17/7/2020 4:28:4 msg Hay buena cobertura con mateu orfila 4110 stats (rx_timestamp=3206396866, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6407, tx_frequency=868000000)
17/7/2020 4:28:9 msg Hay buena cobertura con mateu orfila 4112 stats (rx_timestamp=3210573856, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6409, tx_frequency=868000000)
17/7/2020 4:28:13 msg Hay buena cobertura con mateu orfila 4113 stats (rx_timestamp=3214750853, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6410, tx_frequency=868000000)
17/7/2020 4:28:17 msg Hay buena cobertura con mateu orfila 4114 stats (rx_timestamp=3218927792, rssi=-112, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6412, tx_frequency=868000000)
17/7/2020 4:28:25 msg Hay buena cobertura con mateu orfila 4115 stats (rx_timestamp=3227281820, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6415, tx_frequency=868000000)
17/7/2020 4:28:29 msg Hay buena cobertura con mateu orfila 4116 stats (rx_timestamp=3231458808, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6417, tx_frequency=868000000)
17/7/2020 4:28:38 msg Hay buena cobertura con mateu orfila 4118 stats (rx_timestamp=3239812788, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6420, tx_frequency=868000000)
17/7/2020 4:28:42 msg Hay buena cobertura con mateu orfila 4119 stats (rx_timestamp=3243989776, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6422, tx_frequency=868000000)
17/7/2020 4:28:46 msg Hay buena cobertura con mateu orfila 4121 stats (rx_timestamp=3248166758, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6424, tx_frequency=868000000)
